20
99999999999 99999999 1
999 99999999999 1
-99999999999 999 1
-999 99999999999 1
-99999999999 -999 1
-999 -99999999999 1
999 -99999999999 1
99999999999 -999 1
99999999999 99999999 2
999 99999999999 2
-99999999999 999 2
-999 99999999999 2
-99999999999 -999 2
-999 -99999999999 2
999 -99999999999 2
1476434256335201019505915952536059041319057206399521214104693657122061789167297053187930937033 2952868512670402039011831905072118082638114412799042428209387314244123578334594106375861874066 2
99999999999 99999999 3
9223372036854775807 1234567891111 3
11386878964471969137416693151577 11386878964471969137416693151577 3
1476434256335201019505915952536059041319057206399521214104693657122061789167297053187930937033 2 3
